PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,card_image
1,2081,ME,Blue Hill,Social Library of Blue Hill,Socl,1796,,1869,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02081.gif
2,2074,ME,Belfast,Social Library,Socl,,1858,1859,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02074.gif
4,222,CA,San Jose,Young man's literary association,YMA,1856,,1858,,1858,1000,1858,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/00222.gif
5,318,CT,Birmingham,Young men's institute,YMA,1857,,1858,,1857,103,1857,103,https://library.princeton.edu/visual_materials/mcmullen/gif/00318.gif
6,439,CT,Hartford,Young men's institute,YMA,1838,,1875,,1839,5620,1875,24000,https://library.princeton.edu/visual_materials/mcmullen/gif/00439.gif
8,658,CT,Waterbury,Young Men's Institute,YMA,1852,,1859,,1855,1500,1855,1500,https://library.princeton.edu/visual_materials/mcmullen/gif/00658.gif
9,734,DE,Wilmington,Wilmington Institute,YMA,,1858,,1858,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00734.gif
10,735,DE,Wilmington,Young Men's Assoc,YMA,,1869,1870,,1869,7589,1870,7589,https://library.princeton.edu/visual_materials/mcmullen/gif/00735.gif
11,895,GA,Savannah,Young men's literary association,Young Men's,1855,,1857,,1857,431,1857,431,https://library.princeton.edu/visual_materials/mcmullen/gif/00895.gif
12,2048,ME,Augusta,Reading Room and Social Library,Socl,1817,,,1819,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02048.gif
13,2043,ME,Augusta,Augusta Union Society,Socl,1819,,,1825,1820,199,1820,199,https://library.princeton.edu/visual_materials/mcmullen/gif/02043.gif
14,2049,ME,Augusta,Town Library,Socl,1832,,1832,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02049.gif
15,2062,ME,Bangor,Social Library,Socl,,1798,1820,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02062.gif
16,2056,ME,Bangor,Bangor Social Library,Socl,1834,,1839,,1834,500,1834,500,https://library.princeton.edu/visual_materials/mcmullen/gif/02056.gif
17,2066,ME,Bath,Bath City Library,Socl,,1859,1859,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02066.gif
18,2065,ME,Bar Harbor,Bar Harbor Library,Socl,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02065.gif
19,2068,ME,Bath,Patten Library Association,Socl,1847,,1884,,1858,2000,1875,2500,https://library.princeton.edu/visual_materials/mcmullen/gif/02068.gif
20,2071,ME,Belfast,Belfast Social Library Society,Socl,1800,,,1830,1800,78,1800,78,https://library.princeton.edu/visual_materials/mcmullen/gif/02071.gif
21,2082,ME,Bolster's Mills,Village Library,Socl,1859,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02082.gif
22,2083,ME,Boothbay,Boothbay Social Library,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02083.gif
23,2085,ME,Bristol,Social Library,Socl,,1816,1816,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02085.gif
24,2095,ME,Bucksport,Social Library,Socl,1806,,1884,,1857,1350,1875,1500,https://library.princeton.edu/visual_materials/mcmullen/gif/02095.gif
25,2097,ME,Buxton,Buxton Library Association,Socl,1806,,1825,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02097.gif
26,2096,ME,Buckstown,First Social Library,Socl,1807,,1807,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02096.gif
27,2098,ME,Calais,Calais Library Club,Socl,1827,,,1868,1858,1423,1858,1423,https://library.princeton.edu/visual_materials/mcmullen/gif/02098.gif
28,2099,ME,Calais,St. Croix Library,Socl,1868,,1885,,1875,2700,1875,2700,https://library.princeton.edu/visual_materials/mcmullen/gif/02099.gif
29,2100,ME,Camden,Federal Society's Library,Socl,1796,,,1830,1796,200,1796,200,https://library.princeton.edu/visual_materials/mcmullen/gif/02100.gif
30,2103,ME,Castine,Social Library,Socl,1801,,,1855,1855,260,1855,260,https://library.princeton.edu/visual_materials/mcmullen/gif/02103.gif
31,2105,ME,Cherryfield,Public Library,Socl,1837,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02105.gif
32,2107,ME,Chesterville,Second Social Library,Socl,1820,,1858,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02107.gif
33,2108,ME,Chesterville,Social Library,Socl,1820,,1820,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02108.gif
34,2109,ME,Chesterville,Social Library Of Keith's Mills,Socl,1832,,1858,,1858,300,1838,300,https://library.princeton.edu/visual_materials/mcmullen/gif/02109.gif
35,2110,ME,Corinna,Corinna Social Library,Socl,1849,,1849,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02110.gif
36,2111,ME,Cornish,Library Assoc.,Socl,1867,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02111.gif
37,2114,ME,Danforth,a socl. Library,Socl,,1814,1814,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02114.gif
38,2115,ME,Danville,a socl Library,Socl,,1819,1819,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02115.gif
39,2116,ME,Deering,Deering Public Library,Socl,1870,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02116.gif
40,2120,ME,Dresden,Dresden Library Assoc.,Socl,1840,,1840,,1840,597,1840,597,https://library.princeton.edu/visual_materials/mcmullen/gif/02120.gif
41,2121,ME,East Machias,Public Library Association,Socl,1874,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02121.gif
42,2036,ME,Andover,Socl. Library,Socl,1795,,1795,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02036.gif
43,6038,PA,Wilkes Barre,YMCA,YMCA,1871,,1884,,1875,1700,1875,1700,https://library.princeton.edu/visual_materials/mcmullen/gif/06038.gif
44,2126,ME,Eliot,Eliot Socl. Library,Socl,,1817,1835,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02126.gif
45,2127,ME,Ellsworth,City Library,Socl,1856,,1884,,1875,1114,1875,1114,https://library.princeton.edu/visual_materials/mcmullen/gif/02127.gif
46,2131,ME,Fairfield,Village Library,Socl,,1875,1875,,1875,347,1875,347,https://library.princeton.edu/visual_materials/mcmullen/gif/02131.gif
47,2134,ME,Farmington,Social Library,Socl,1800,,1800,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02134.gif
48,2136,ME,Freeport,Socl. Library,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02136.gif
49,2137,ME,Fryeburg,Socl. Library,Socl,1800,,1803,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02137.gif
50,2140,ME,Gardiner,Public Library,Socl,1840,,1884,,1875,2500,1875,2500,https://library.princeton.edu/visual_materials/mcmullen/gif/02140.gif
51,2142,ME,Gorham,Social and Circulating Library,Socl,1831,,1834,,1831,1000,1831,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/02142.gif
52,2143,ME,Gorham,Social Library,Socl,,1814,1814,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02143.gif
53,2145,ME,Hallowell,Hallowell Social Library,Socl,1842,,1884,,1857,1720,1875,5000,https://library.princeton.edu/visual_materials/mcmullen/gif/02145.gif
54,2147,ME,Harrison,Village Library Assoc.,Socl,1871,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02147.gif
55,2148,ME,Houlton,Forest Club Library,Socl,1849,,1859,,1849,200,1857,500,https://library.princeton.edu/visual_materials/mcmullen/gif/02148.gif
56,2149,ME,Houlton,Library Association,Socl,1869,,1875,,1875,550,1875,550,https://library.princeton.edu/visual_materials/mcmullen/gif/02149.gif
57,2150,ME,Allen's Mills,Allen's Mills Social Library,Socl,1830,,1830,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02150.gif
58,2153,ME,Kennebunk,Social Library,Socl,1801,,,1853,1801,224,1801,224,https://library.princeton.edu/visual_materials/mcmullen/gif/02153.gif
59,2168,ME,Lewiston Falls,Harper Library,Socl,,1848,1850,,1858,1000,1858,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/02168.gif
60,2169,ME,Lisbon,Moral Library,Socl,1830,,,1864,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02169.gif
61,2170,ME,Lisbon,Village Library,Socl,,1864,,1899,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02170.gif
62,2171,ME,Livermore,Livermore Social Library,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02171.gif
63,2172,ME,Machias,Machias' Social Library,Socl,1820,,1857,,1857,620,1857,620,https://library.princeton.edu/visual_materials/mcmullen/gif/02172.gif
64,2173,ME,Machias,Second Social Library,Socl,1820,,1841,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02173.gif
65,2174,ME,Machias,Social Library,Socl,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02174.gif
66,2176,ME,New Gloucester,Cir. Library,Socl,1853,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02176.gif
67,2177,ME,New Gloucester,Social Library,Socl,1794,,1795,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02177.gif
68,2179,ME,Newport,Cir. Library,Socl,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02179.gif
69,2181,ME,Norridgewock,Norridgewock Useful Library,Socl,1848,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02181.gif
70,2187,ME,North Yarmouth,North Yarmouth and Falmouth Socl. Library,Socl,1813,,1813,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02187.gif
71,2186,ME,North Yarmouth,Third Social Library,Socl,1818,,1835,,1835,111,1835,111,https://library.princeton.edu/visual_materials/mcmullen/gif/02186.gif
72,2185,ME,North Yarmouth,Second Social Library,Socl,1812,,1812,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02185.gif
73,2188,ME,Norway,Norway Library,Socl,,1805,1805,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02188.gif
74,2190,ME,Ossington,Social Library,Socl,,1858,1858,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02190.gif
75,2191,ME,Paris,Paris Social Library,Socl,,1797,1836,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02191.gif
76,2192,ME,Parsonsfield,Middle Village Social Library,Socl,,1830,1830,,1830,300,1830,300,https://library.princeton.edu/visual_materials/mcmullen/gif/02192.gif
77,2193,ME,Pembroke,,Socl,1832,,1832,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02193.gif
78,2196,ME,Portland,Falmuth Socl. Library,Socl,1803,,1803,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02196.gif
79,2198,ME,Portland,Library Society,Socl,1766,,,1826,1766,93,1825,1640,https://library.princeton.edu/visual_materials/mcmullen/gif/02198.gif
80,2206,ME,Portland,Portland Institute and Public Library,Socl,1867,,1884,,1875,15644,1875,15644,https://library.princeton.edu/visual_materials/mcmullen/gif/02206.gif
81,2209,ME,Prentiss,,Socl,1858,,1858,,1858,300,1858,300,https://library.princeton.edu/visual_materials/mcmullen/gif/02209.gif
82,2210,ME,Presque Isle,Presque Isle Library,Socl,1865,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02210.gif
83,2211,ME,Richmond,Richmond-Library Association,Socl,1868,,1884,,1875,1700,1857,1700,https://library.princeton.edu/visual_materials/mcmullen/gif/02211.gif
84,2215,ME,Saccarappa,Westbrook Social Library,Socl,1802,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02215.gif
85,2218,ME,Saco,Social Library,Socl,,1798,1820,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02218.gif
86,2220,ME,Sanford,Social Library,Socl,,1819,1819,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02220.gif
87,2221,ME,Sangerville,"Sangerville, ? and Parkman social Library",Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02221.gif
88,2223,ME,Sedgewick,Hancock Library,Socl,,1796,1796,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02223.gif
89,2225,ME,Sidney,Sidney Social Library,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02225.gif
90,2226,ME,Skowhegan,Skowhegan Library,Socl,1867,,1884,,1869,2315,1875,3040,https://library.princeton.edu/visual_materials/mcmullen/gif/02226.gif
91,2228,ME,South Berwick,Library,Socl,1869,,1875,,1875,449,1875,449,https://library.princeton.edu/visual_materials/mcmullen/gif/02228.gif
92,2229,ME,South Berwick,South Berwick Social Library,Socl,1816,,1816,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02229.gif
93,2230,ME,Thomaston,First Social Library in Thomaston,Socl,1799,,1831,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02230.gif
94,2235,ME,Thomaston,Thomaston Village Library Assoc.,Socl,1843,,1843,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02235.gif
95,2237,ME,Turner,North Turner Bridge Library Co.,Socl,1851,,1851,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02237.gif
96,2238,ME,Turner,North Turner Library,Socl,,1828,1828,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02238.gif
97,2239,ME,Union,Union Library of the Federal Society,Socl,,1800,1800,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02239.gif
98,2240,ME,Union,Union Library Society,Socl,1825,,1825,,1825,200,1825,200,https://library.princeton.edu/visual_materials/mcmullen/gif/02240.gif
99,2246,ME,Warren,Social Library of Warren,Socl,1799,,1825,,1825,500,1825,500,https://library.princeton.edu/visual_materials/mcmullen/gif/02246.gif
100,2253,ME,Waterville,Waterville Library,Socl,1854,,1854,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02253.gif
101,2254,ME,Waterville,Second Social Library,Socl,1818,,1820,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02254.gif
102,2255,ME,Waterville,Waterville Social Library,Socl,1801,,1802,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02255.gif
103,2257,ME,Wells,Second Social Library,Socl,1812,,1812,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02257.gif
104,2258,ME,Wells,Wells Social Library,Socl,1802,,1802,,1802,100,1802,100,https://library.princeton.edu/visual_materials/mcmullen/gif/02258.gif
105,2259,ME,Westbrook,Westbrook Social Library,Socl,1802,,1802,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02259.gif
106,2266,ME,Wiscasset,Social Library of Wiscasset,Socl,1799,,1884,,1799,1300,1799,1300,https://library.princeton.edu/visual_materials/mcmullen/gif/02266.gif
107,2267,ME,Yarmouth,Yarmouth Social Library,Socl,1805,,,1850,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02267.gif
108,2039,ME,Auburn,Harper Library Association,Socl,1845,,1865,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02039.gif
109,2040,ME,Auburn,Haskell and Reynolds Library,Socl,1871,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02040.gif
110,3797,NH,Acworth,Union Library,Socl,1827,,1827,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03797.gif
111,3796,NH,Acworth,Social Library,Socl,1801,,1801,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03796.gif
112,3798,NH,Social Library,1827,Socl,,1827,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03798.gif
113,3799,NH,Alstead,East Alstead Library,Socl,1804,,1804,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03799.gif
114,3800,NH,Alstead,Social Library,Socl,1798,,1798,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03800.gif
115,3801,NH,Amherst,Library Association,Socl,1859,,1879,,1875,655,1875,655,https://library.princeton.edu/visual_materials/mcmullen/gif/03801.gif
116,3802,NH,Amherst,Amherst Library Society,Socl,1792,,,1832,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03802.gif
118,3806,NH,Andover,East Andover Social Library,Socl,1849,,1849,,1849,200,1849,200,https://library.princeton.edu/visual_materials/mcmullen/gif/03806.gif
119,3808,NH,Andover,Social Library,Socl,1814,,,1844,1817,92,1817,92,https://library.princeton.edu/visual_materials/mcmullen/gif/03808.gif
121,3812,NH,Ashuelot,Ashuelot Union,Socl,1871,,1875,,1875,327,1875,327,https://library.princeton.edu/visual_materials/mcmullen/gif/03812.gif
122,3813,NH,Barnstead,Social Library,Socl,1807,,1807,,1807,300,1807,300,https://library.princeton.edu/visual_materials/mcmullen/gif/03813.gif
123,3814,NH,Barrington,Social Library,Socl,1808,,1808,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03814.gif
124,3815,NH,Bath,Social Library,Socl,1802,,1802,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03815.gif
125,3816,NH,Bedford,Social Library,Socl,1789,,,1848,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03816.gif
126,3817,NH,Bethlehem,Bethlehem Librarian Society,Socl,1808,,1808,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03817.gif
127,3818,NH,Boscawen,East Social Library,Socl,1829,,1829,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03818.gif
128,3819,NH,Boscawen,Social Library,Socl,1792,,1811,,1811,127,1811,127,https://library.princeton.edu/visual_materials/mcmullen/gif/03819.gif
129,3820,NH,Boscawen,West Social Library,Socl,1828,,1828,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03820.gif
130,3821,NH,Bow,Social Library,Socl,1822,,1822,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03821.gif
131,3822,NH,Bradford,Bradford Union Library,Socl,1811,,1811,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03822.gif
132,3823,NH,Bradford,Town Library,Socl,1859,,1859,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03823.gif
133,3824,NH,Brentwood,Social Library,Socl,1802,,1806,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03824.gif
134,3825,NH,Bridgewater,Bridgewater Social Library,Socl,1802,,1802,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03825.gif
135,3826,NH,Bridgewater,Second Social Library,Socl,1811,,1811,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03826.gif
136,1823,NH,Bristol,Bristol Library,Socl,1823,,1823,,,0,,100,https://library.princeton.edu/visual_materials/mcmullen/gif/01823.gif
137,3828,NH,Brookfield,Social Library,Socl,1811,,1811,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03828.gif
138,3829,NH,Brookfield,"Social Library Of Brookfield, Wolfeborough, and Wakefield",Socl,1833,,1833,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03829.gif
139,3830,NH,Brookline,Social Library,Socl,1823,,,1860,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03830.gif
140,3831,NH,Campton,Social Library,Socl,1792,,1800,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03831.gif
141,3832,NH,Canaan,Social Library,Socl,1803,,1832,,1803,200,1803,200,https://library.princeton.edu/visual_materials/mcmullen/gif/03832.gif
142,3833,NH,Candia,Candia Library Society,Socl,1824,,,1850,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03833.gif
143,3835,NH,Candia,Social Library,Socl,1791,,1810,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03835.gif
144,3836,NH,Canterbury,Social Library,Socl,1795,,1891,,1795,339,1795,339,https://library.princeton.edu/visual_materials/mcmullen/gif/03836.gif
145,3837,NH,Cenre Harbor,Social Library,Socl,1829,,1829,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03837.gif
146,95001,NH,Charleston,First Public Library,Socl,,1830,1830,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/95001.gif
148,3839,NH,Charleston,Social Library,Socl,1808,,1886,,1875,1460,1875,1460,https://library.princeton.edu/visual_materials/mcmullen/gif/03839.gif
149,3840,NH,Cheshire,Cheshire County Library,Socl,1829,,1829,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03840.gif
150,3842,NH,Chester,Social Library,Socl,1793,,,1870,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03842.gif
151,3843,NH,Chichester,Social Library,Socl,1798,,1798,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03843.gif
152,3844,NH,Claremont,Book Club,Socl,1869,,1875,,1875,560,1875,560,https://library.princeton.edu/visual_materials/mcmullen/gif/03844.gif
153,3846,NH,Colebrook and Monadnock,Colebrook and Monadnock Social Library,Socl,1808,,1808,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03846.gif
154,3848,NH,Concord,Concord Library,Socl,1798,,1807,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03848.gif
155,3858,NH,Concord,Union Library Society,Socl,1811,,1811,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03858.gif
156,3859,NH,Concord,Washington Library,Socl,1812,,1812,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03859.gif
157,3862,NH,Contoocook,Contoocook Library,Socl,1871,,1891,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03862.gif
158,3864,NH,Conway and Bartlett,Conway and Bartlett Library,Socl,1802,,1820,,1820,175,1820,175,https://library.princeton.edu/visual_materials/mcmullen/gif/03864.gif
159,3865,NH,Cornish,Social Library,Socl,1797,,1797,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03865.gif
160,3866,NH,Corydon,Social Library,Socl,1806,,1806,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03866.gif
161,3867,NH,Danbury,Social Library,Socl,1831,,1831,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03867.gif
162,3868,NH,Deerfield,Social Library,Socl,1805,,1808,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03868.gif
163,3869,NH,Deering,Social Library,Socl,1797,,1797,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03869.gif
164,3870,NH,Derry,Social Library,Socl,1799,,,1827,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03870.gif
165,12431,NH,Dover,Deacon Andew Pierce's Social Library,Socl,,1830,,1830,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12431.gif
166,3871,NH,Dover,Dover Library,Socl,1839,,1839,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03871.gif
167,3872,NH,Dover,Dover Library,Socl,1850,,1875,,1875,5055,1875,5055,https://library.princeton.edu/visual_materials/mcmullen/gif/03872.gif
168,95002,NH,Dover,Franklin Library,Socl,,1833,1833,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/95002.gif
169,3873,NH,Dover,Social Library Company in Dover,Socl,1792,,1820,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03873.gif
170,3874,NH,Dublin,Dublin Literary Society,Socl,1824,,,1835,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03874.gif
171,3877,NH,Dublin,Social Library,Socl,1793,,,1835,1798,93,1798,93,https://library.princeton.edu/visual_materials/mcmullen/gif/03877.gif
172,3878,NH,Dublin,The Union Library,Socl,1835,,1858,,1850,438,1858,450,https://library.princeton.edu/visual_materials/mcmullen/gif/03878.gif
173,3879,NH,Dunbarton,Social Library,Socl,1798,,1810,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03879.gif
174,3880,NH,Durham,Social Library,Socl,1815,,,1881,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03880.gif
175,3881,NH,East Franklin,Aiken Association,Socl,1868,,1875,,1875,750,1875,750,https://library.princeton.edu/visual_materials/mcmullen/gif/03881.gif
176,3882,NH,East Kingston,Union Library,Socl,1828,,1828,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03882.gif
177,3883,NH,East Lebanon,East Lebanon Union Library,Socl,1831,,1831,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03883.gif
178,3884,NH,East Rindge,Library Assoc.,Socl,1871,,1891,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03884.gif
179,3885,NH,Eaton,Eaton Library,Socl,1823,,1823,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03885.gif
180,3886,NH,Eaton,Social Library,Socl,1807,,1807,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03886.gif
181,3887,NH,Effingham,First Library Society,Socl,1814,,1814,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03887.gif
182,3888,NH,Effingham,Social Library,Socl,1802,,1802,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03888.gif
183,3889,NH,Enfield,Family Library,Socl,1793,,1875,,1875,1500,1875,1500,https://library.princeton.edu/visual_materials/mcmullen/gif/03889.gif
184,3890,NH,Enfield,Social Library,Socl,1803,,1803,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03890.gif
185,3891,NH,Epping,Epping Social Library,Socl,1805,,1805,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03891.gif
186,3892,NH,Epsom,Social Library,Socl,1801,,1801,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03892.gif
187,12436,NH,Exeter,Exeter Library Society,Socl,,,,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12436.gif
188,3894,NH,Exeter,Social Library,Socl,1797,,1797,,1797,168,1797,168,https://library.princeton.edu/visual_materials/mcmullen/gif/03894.gif
189,3897,NH,Farmington,Farmington Library,Socl,1853,,1875,,1875,800,1875,800,https://library.princeton.edu/visual_materials/mcmullen/gif/03897.gif
190,3898,NH,Fisherville,Library Assoc.,Socl,1865,,187,,1875,1300,1875,1300,https://library.princeton.edu/visual_materials/mcmullen/gif/03898.gif
191,3899,NH,Fitzwilliam,Fitzwilliam Library Assoc.,Socl,1851,,,1871,1853,490,1853,490,https://library.princeton.edu/visual_materials/mcmullen/gif/03899.gif
192,3900,NH,Fitzwilliam,Social Library,Socl,1797,,1840,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03900.gif
193,3901,NH,Fitzwilliam,Town Library,Socl,1851,,1875,,1875,1000,1875,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/03901.gif
194,3903,NH,Francestown,Social Library,Socl,1805,,,1855,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03903.gif
195,3905,NH,Franconia,Social Library,Socl,1806,,1819,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/03905.gif
196,3906,NH,Franklin,Library Assoc.,Socl,1860,,1891,,1875,1092,1875,1092,https://library.princeton.edu/visual_materials/mcmullen/gif/03906.gif
197,12438,NH,Franklin,Library (subscription),Socl,1864,,1898,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12438.gif
