PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,card_image
1579,5956,PA,Reading,William Penn Inste,Socl,1837,,,1843,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/05956.gif
1580,5959,PA,Renova,Library and Reading Room Assoc.,Socl,1867,,1875,,1875,750,1875,750,https://library.princeton.edu/visual_materials/mcmullen/gif/05959.gif
1581,5961,PA,Philadelphia,Phila. City Institute,Socl,,1858,1859,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/05961.gif
1582,5966,PA,Scranton,Welsh Philosophical Society and Free Library,Socl,1863,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/05966.gif
1583,5971,PA,Sewickley,Sewickley Library Institute,Socl,1865,,1865,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/05971.gif
1584,30983,PA,Shippensberg,A Library society,Socl,,1860,1860,,1860,600,1860,600,https://library.princeton.edu/visual_materials/mcmullen/gif/30983.gif
1585,5976,PA,South Bethlehem,Reading Room and Library Assoc.,Socl,1870,,1875,,1875,500,1875,500,https://library.princeton.edu/visual_materials/mcmullen/gif/05976.gif
1586,5978,PA,Philadelphia,Southwark Library Co.,Socl,1822,,1884,,1833,6000,1875,10015,https://library.princeton.edu/visual_materials/mcmullen/gif/05978.gif
1587,95039,PA,Spring Garden,Free Reading Room Assoc.,Socl,,1851,1851,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/95039.gif
1588,30985,PA,Spring Garden,Spring Garden LibraryAssoc.,Socl,1835,,,1843,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/30985.gif
1589,5980,PA,Philadelphia,Spring Garden Institute,Socl,1850,,1884,,1856,3250,1875,5787,https://library.princeton.edu/visual_materials/mcmullen/gif/05980.gif
1590,5984,PA,Stroudsburg,Library Assoc.,Socl,1832,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/05984.gif
1591,5985,PA,Stroudsburg,Stroudsburg Library,Socl,1839,,1875,,1875,1000,1875,1000,https://library.princeton.edu/visual_materials/mcmullen/gif/05985.gif
1592,5986,PA,Susquehanna,Library Assoc. of Susquehanna,Socl,1861,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/05986.gif
1593,5994,PA,Tamaqua,Tamaqua - Newkirk Library,Socl,,1849,1875,,1875,700,1875,700,https://library.princeton.edu/visual_materials/mcmullen/gif/05994.gif
1594,5996,PA,Ten Mile (Washington Co.),Franklin Library Company,Socl,1827,,1827,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/05996.gif
1595,5999,PA,Towanda,Towanda Library Assoc.,Socl,1859,,1859,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/05999.gif
1596,6000,PA,Uniontown,Book Club,Socl,1868,,1884,,1875,564,1875,564,https://library.princeton.edu/visual_materials/mcmullen/gif/06000.gif
1597,6002,PA,Uniontown,Library Company of Uniontown,Socl,1839,,1839,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06002.gif
1598,6003,PA,Unionville,Coester Co. Library,Socl,1805,,1865,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06003.gif
1599,6006,PA,Upper Dublin,Union Library Co.,Socl,1834,,1840,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06006.gif
1600,6009,PA,Villanova,Villanova Library,Socl,1842,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06009.gif
1601,30990,PA,Warren,Warren Library,Socl,1831,,1831,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/30990.gif
1602,6010,PA,Warren,Waren Library Assoc.,Socl,1873,,1884,,1875,1935,1875,1935,https://library.princeton.edu/visual_materials/mcmullen/gif/06010.gif
1603,6012,PA,Washington,Citizen's Library,Socl,1871,,1884,,1871,1837,1871,1837,https://library.princeton.edu/visual_materials/mcmullen/gif/06012.gif
1604,6018,PA,Washington County,Washington Library Assoc.,Socl,1868,,1871,,1868,316,1871,1600,https://library.princeton.edu/visual_materials/mcmullen/gif/06018.gif
1605,6019,PA,Washington Co.,Washington Library Co.,Socl,1816,,1816,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06019.gif
1606,6020,PA,Washington,Library Company inc.,Socl,1861,,,1868,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06020.gif
1607,30993,PA,Wayne,Wayne Library and Library Assoc.,Socl,,1871,1872,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/30993.gif
1608,6023,PA,Waynesburg,Public Library,Socl,,1875,1875,,1875,400,1875,400,https://library.princeton.edu/visual_materials/mcmullen/gif/06023.gif
1609,6029,PA,West Chester,Library Assoc.,Socl,1873,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06029.gif
1610,6030,PA,West Chester,National Library and Reading Room,Socl,1814,,1859,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06030.gif
1611,6032,PA,Whitpain,Whitpain Twp. Library,Socl,1817,,,1890,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06032.gif
1612,6035,PA,Wilkes-Barre,St. Nicholas Library,Socl,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06035.gif
1613,6039,PA,Williamsport,Williamsport Library Assoc.,Socl,1859,,1860,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06039.gif
1614,6042,PA,Chester Co.,Windsor Public Library,Socl,1866,,1866,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06042.gif
1615,6044,PA,Wormelsdorf,Wormelsdorf Library Assoc.,Socl,1871,,1875,,1875,380,1875,380,https://library.princeton.edu/visual_materials/mcmullen/gif/06044.gif
1616,6046,PA,Yardleyville,Yardleyville Library,Socl,1845,,1918,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/06046.gif
1617,6049,PA,York,United Library Assoc.,Socl,1875,,1884,,1875,863,1875,863,https://library.princeton.edu/visual_materials/mcmullen/gif/06049.gif
1618,95040,PA,York,York County Library Company,Socl,,1823,1823,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/95040.gif
1619,5505,PA,,Library Assoc.,Socl,1837,,1837,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/05505.gif
1620,716,DE,Milton,Library Assoc.,Socl,1875,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00716.gif
1621,717,DE,New Castle,New Castle Library,Socl,1812,,1884,,1850,4000,1875,6200,https://library.princeton.edu/visual_materials/mcmullen/gif/00717.gif
1622,723,DE,Smyrna,Library Association,Socl,1858,,1875,,1858,2000,1875,2500,https://library.princeton.edu/visual_materials/mcmullen/gif/00723.gif
1623,726,DE,Wilmington,Wilmington Library Company,Socl,1788,,,1858,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/00726.gif
1624,733,DE,Wilmington,Wilmington Institute,Socl,1858,,1875,,1875,11000,1875,11000,https://library.princeton.edu/visual_materials/mcmullen/gif/00733.gif
1625,714,DE,Georgetown,Academical Rhetorical Library,Socl,1854,,1857,,1854,225,1857,4000,https://library.princeton.edu/visual_materials/mcmullen/gif/00714.gif
1626,95041,MD,Baltimore,Gunpowder Library Association of Friends,Socl,,1853,1853,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/95041.gif
1627,2295,MD,Baltimore,Library Co. of Baltimore,Socl,1796,,,1854,1799,3300,1849,15005,https://library.princeton.edu/visual_materials/mcmullen/gif/02295.gif
1628,2291,MD,Baltimore,Concordia Library,Socl,1865,,1884,,1875,3500,1875,3500,https://library.princeton.edu/visual_materials/mcmullen/gif/02291.gif
1629,12198,MD,Baltimore,Newton Literary Institute Library,Socl,,1849,,1849,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12198.gif
1630,12184,MD,Baltimore,Irving Circulating Library,Socl,,1845,1845,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12184.gif
1631,12161,MD,Baltimore,Caledonia Library Assoc.,Socl,,1844,1844,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/12161.gif
1632,12158,MD,Baltimore,Baltimore College Library Assoc.,Socl,,1842,1842,,1842,179,1842,179,https://library.princeton.edu/visual_materials/mcmullen/gif/12158.gif
1634,2332,MD,Cambridge,Cambridge Library Assoc.,Socl,,1858,1858,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02332.gif
1635,2340,MD,Church Creek,Library Assoc.,Socl,1858,,1858,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02340.gif
1636,2343,MD,Cumberland,American Library Assoc.,Socl,,1858,1858,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02343.gif
1637,2372,MD,New Windsor,Social Library,Socl,1840,,1858,,1858,550,1858,550,https://library.princeton.edu/visual_materials/mcmullen/gif/02372.gif
1638,2376,MD,Oakland,Garrett Literary Society,Socl,1874,,1884,,,0,,0,https://library.princeton.edu/visual_materials/mcmullen/gif/02376.gif
1639,2377,MD,Rockville,Montgomery County Library,Socl,1849,,1858,,1850,115,1850,115,https://library.princeton.edu/visual_materials/mcmullen/gif/02377.gif
1640,2387,MD,Salisbury,Circulating Library,Socl,1870,,1884,,1875,552,1875,552,https://library.princeton.edu/visual_materials/mcmullen/gif/02387.gif
